day	hour	value
2	22	1
2	22	1
2	22	1
2	22	1
2	22	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
2	23	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	09	1
3	10	1
3	10	1
3	10	1
3	10	1
3	10	1
